Sample Number,Sample Time,Sample Type Code,Variable Name,VMV Code,Value,Unit Code,Detection Limit,Flag,Status
15PY005942,7/20/2015 10:05,1,Zinc Total,107939,1.6,UG/L,0.2,,U
17PY005401,9/7/2016 15:10,1,Sulphate Dissolved,16309,19600,UG/L,0.1,,U
17PY005548,4/20/2016 13:10,1,Silver Total,107904,0.001,UG/L,0.001,L,U
17PY005548,4/20/2016 13:10,1,Specific Conductance,2041,402,USIE/CM,2,,U
17PY005341,6/23/2016 13:15,1,Carbon Dissolved Inorganic,201144,13500,UG/L,0.3,,U
17PY006104,4/4/2017 9:00,1,Bromide Dissolved,101535,20,UG/L,0.02,L,U
17PY006104,4/4/2017 9:00,1,Residue nonfilterable,1145,3000,UG/L,2,,U
17PY006227,4/26/2017 12:25,1,Barium Total,107908,634,UG/L,0.05,,U
17PY006227,4/26/2017 12:25,1,Titanium Total,107933,29.2,UG/L,0.05,,U
17PY006227,4/26/2017 12:25,1,Nitrogen Nitrite,444,5,UG/L,0.005,L,U
17PY006227,4/26/2017 12:25,1,Phosphorus Total,15406,1220,UG/L,0.005,,U
17PY006323,6/14/2017 15:50,1,Rubidium Total,107928,0.81,UG/L,0.001,,U
17PY006532,7/20/2017 9:05,1,Boron Total,107907,6.3,UG/L,0.5,,U
17PY006532,7/20/2017 9:05,1,Chromium Total,107914,0.13,UG/L,0.02,,U
17PY006532,7/20/2017 9:05,1,Lanthanum Total,107919,0.045,UG/L,0.001,,U
07PY001379,8/27/2007 16:35,1,Rubidium Total,97521,0.45,UG/L,0.01,,U
07PY001405,9/24/2007 17:32,1,Lithium Total,97514,2.5,UG/L,0.2,,U
07PY001405,9/24/2007 17:32,1,Phosphorus Total,15406,14,UG/L,0.002,,U
07PY001469,12/2/2007 14:20,1,pH,1075,7.95,PH,0.01,,U
08PY001188,7/8/2008 17:36,1,Cobalt Total,97507,3.17,UG/L,0.002,,U
08PY001188,7/8/2008 17:36,1,Zinc Total,97532,41.6,UG/L,0.05,,U
08PY001188,7/8/2008 17:36,1,Nitrogen Total,1130,760,UG/L,0.01,,U
08PY001188,7/8/2008 17:36,1,Calcium  extractable/unfiltered,1143,19200,UG/L,0.1,,U
08PY001335,7/29/2008 20:15,1,Uranium Total,97528,0.57,UG/L,0.0005,,U
08PY001412,8/22/2008 14:58,1,Barium Total,97502,46.3,UG/L,0.05,,U
08PY001439,9/16/2008 18:02,1,Turbidity,2074,2.62,NTU,0.05,,U
14PY006056,6/18/2014 14:18,1,Silver Total,107904,0.021,UG/L,0.001,,U
14PY006056,6/18/2014 14:18,1,Lanthanum Total,107919,0.797,UG/L,0.001,,U
15PY005279,7/15/2014 10:20,1,Temperature (water),1125,17,DEG C,,,U
15PY005761,5/20/2015 15:00,1,Nitrogen Total,1130,1020,UG/L,0.02,,U
15PY005891,2/24/2015 14:55,1,Bromide Dissolved,101535,20,UG/L,0.02,L,U
15PY005891,2/24/2015 14:55,1,Carbon Dissolved Inorganic,201144,47700,UG/L,0.5,,U
15PY005903,6/23/2015 14:35,1,Calcium  extractable/unfiltered,1143,19300,UG/L,0.1,,U
15PY005891,2/24/2015 14:55,1,Barium Total,107908,184,UG/L,0.05,,U
15PY005891,2/24/2015 14:55,1,Silver Total,107904,0.001,UG/L,0.001,L,U
15PY005903,6/23/2015 14:35,1,Tin Total,107931,0.005,UG/L,0.005,,U
16PY005022,12/3/2015 10:30,1,Rubidium Total,107928,0.575,UG/L,0.001,,U
17PY005321,5/19/2016 9:30,1,Colour True,1963,78.2,CU,1,,U
17PY005548,4/20/2016 13:10,1,Sulphate Dissolved,16309,18200,UG/L,0.1,,U
17PY005341,6/23/2016 13:15,1,Titanium Total,107933,9.85,UG/L,0.05,,U
17PY005390,8/19/2016 9:15,1,pH,10301,8.08,PH,0.01,,U
17PY005390,8/19/2016 9:15,1,Antimony Total,107929,0.198,UG/L,0.001,,U
17PY006104,4/4/2017 9:00,1,Colour True,1963,16,CU,1,,U
17PY006227,4/26/2017 12:25,1,Antimony Total,107929,0.271,UG/L,0.001,,U
17PY006227,4/26/2017 12:25,1,Cobalt Total,107913,16.3,UG/L,0.002,,U
17PY006227,4/26/2017 12:25,1,Turbidity,2074,785,NTU,0.04,,U
17PY006308,5/23/2017 3:05,1,Titanium Total,107933,22,UG/L,0.05,,U
17PY006308,5/23/2017 3:05,1,Sulphate Dissolved,8265,5730,UG/L,0.1,,U
17PY006323,6/14/2017 15:50,1,Lithium Total,107920,2.03,UG/L,0.01,,U
07PY001443,9/9/2007 17:15,1,Temperature (water),1125,10,DEG C,,,U
07PY001469,12/2/2007 14:20,1,Specific Conductance,2041,298,USIE/CM,2,,U
08PY001335,7/29/2008 20:15,1,Temperature (water),1125,11,DEG C,,,U
