Sample Number,Sample Time,Sample Type Code,Variable Name,VMV Code,Value,Unit Code,Detection Limit,Flag,Status
17PY005593,10/10/2016 12:45,1,Sulphate Dissolved,16309,238000,UG/L,2,,U
17PY005332,6/12/2016 11:00,1,Selenium Total,107930,0.2,UG/L,0.01,,U
17PY005797,11/13/2016 11:15,1,Silicon Dissolved,1175,4800,UG/L,0.05,,U
17PY005851,2/14/2016 12:07,1,Nitrogen Total Dissolved,7657,290,UG/L,0.02,,U
17PY005888,3/13/2016 10:45,1,Temperature (water),1125,-1,DEG C,-2,,U
17PY005971,2/12/2017 11:25,1,Cobalt Total,107913,14.2,UG/L,0.002,,U
17PY005971,2/12/2017 11:25,1,Gallium Total,107918,0.051,UG/L,0.001,,U
17PY005971,2/12/2017 11:25,1,Zinc Total,107939,154,UG/L,0.2,,U
17PY005991,3/12/2017 12:22,1,Selenium Total,107930,0.39,UG/L,0.01,,U
17PY005991,3/12/2017 12:22,1,Carbon Dissolved Organic,201145,300,UG/L,0.3,L,U
17PY005991,3/12/2017 12:22,1,Temperature (water),1125,1,DEG C,-10,,U
17PY006219,4/17/2017 11:05,1,Tungsten Total,107937,0.002,UG/L,0.001,,U
17PY006307,5/22/2017 10:15,1,Cadmium Total,107911,0.093,UG/L,0.001,,U
17PY006329,6/18/2017 9:55,1,Selenium Total,107930,0.17,UG/L,0.01,,U
17PY006329,6/18/2017 9:55,1,Temperature (water),1125,7,DEG C,-10,,U
17PY006530,7/16/2017 11:24,1,Arsenic Total,107906,0.38,UG/L,0.01,,U
19PY001308,8/18/2019 8:35,1,Nitrogen Total Dissolved,7657,310,UG/L,0.02,,U
20PY000068,9/15/2019 9:45,1,Rubidium Total,107928,4.33,UG/L,0.001,,U
20PY000077,10/7/2019 12:25,1,Chromium Total,107914,0.08,UG/L,0.02,,U
20PY000331,2/23/2020 10:00,1,Barium Total,107908,108,UG/L,0.05,,U
20PY000331,2/23/2020 10:00,1,Copper Total,107916,0.3,UG/L,0.05,,U
20PY000331,2/23/2020 10:00,1,Calcium Dissolved,1180,89700,UG/L,0.1,,U
21PY000502,3/7/2021 10:50,1,Bismuth Dissolved,107946,0.004,UG/L,0.001,,U
21PY000502,3/7/2021 10:50,1,Silver Dissolved,107940,0.001,UG/L,0.001,L,U
21PY000523,4/11/2021 11:05,1,Lithium Total,107920,5.84,UG/L,0.03,,U
21PY000595,11/16/2020 11:40,1,Barium Total,107908,60.3,UG/L,0.05,,U
21PY000646,6/13/2021 10:10,1,Silver Dissolved,107940,0.003,UG/L,0.001,,U
21PY000887,9/12/2021 10:50,1,Cobalt Total,107913,0.401,UG/L,0.002,,U
21PY000887,9/12/2021 10:50,1,Lead Total,107925,0.19,UG/L,0.01,,U
21PY000887,9/12/2021 10:50,1,Strontium Dissolved,107968,204,UG/L,0.03,,U
21PY000912,8/8/2021 9:05,1,pH,10301,7.96,PH,0.01,,U
18PY005683,3/11/2018 10:15,1,Carbon Dissolved Organic,201145,300,UG/L,0.3,L,U
18PY005928,4/29/2018 9:10,1,Manganese Total,107921,4880,UG/L,0.05,,U
18PY005928,4/29/2018 9:10,1,Dissolved nitrogen nitrate,8266,74,UG/L,0.002,,U
18PY006127,7/15/2018 10:20,1,Copper Total,107916,0.62,UG/L,0.05,,U
18PY006294,8/12/2018 13:05,1,Temperature (air),97060,17.2,DEG C,-100,,U
18PY006294,8/12/2018 13:05,1,Residue nonfilterable,1145,2000,UG/L,2,L,U
19PY000044,10/14/2018 10:30,1,Calcium Dissolved,1180,93800,UG/L,0.1,,U
19PY000158,9/10/2018 9:05,1,Copper Total,107916,0.56,UG/L,0.05,,U
19PY000407,2/17/2019 12:40,1,Platinum Total,107927,0.001,UG/L,0.001,L,U
19PY000576,3/10/2019 11:27,1,Platinum Total,107927,0.001,UG/L,0.001,L,U
19PY000576,3/10/2019 11:27,1,Yttrium Total,107938,0.028,UG/L,0.001,,U
19PY001308,8/18/2019 8:35,1,Selenium Total,107930,0.2,UG/L,0.01,,U
19PY001308,8/18/2019 8:35,1,Magnesium Dissolved,1179,22400,UG/L,0.1,,U
20PY000213,11/17/2019 9:45,1,Lead Total,107925,0.331,UG/L,0.005,,U
20PY000226,12/15/2019 10:00,1,Carbon Dissolved Organic,201145,700,UG/L,0.3,,U
20PY000331,2/23/2020 10:00,1,Antimony Total,107929,0.112,UG/L,0.001,,U
21PY000127,3/15/2020 10:38,1,Antimony Total,107929,0.035,UG/L,0.001,,U
21PY000127,3/15/2020 10:38,1,Lead Total,107925,0.031,UG/L,0.005,,U
21PY000254,1/10/2021 12:00,1,pH,10301,8.11,PH,0.01,,U
21PY000486,2/14/2021 11:30,1,Carbon Total Inorganic,100531,36900,UG/L,0.3,,U
21PY000486,2/14/2021 11:30,1,Zinc Total,107939,20.1,UG/L,0.2,,U
21PY000486,2/14/2021 11:30,1,Magnesium Dissolved,1179,17100,UG/L,0.1,,U
21PY000523,4/11/2021 11:05,1,Palladium Total,107926,0.002,UG/L,0.002,L,U
21PY000602,12/6/2020 11:15,1,Zinc Total,107939,35.9,UG/L,0.2,,U
14PY005539,11/17/2013 12:15,1,Yttrium Total,107938,0.035,UG/L,0.001,,U
15PY005614,9/21/2014 12:04,1,Lead Total,107925,0.177,UG/L,0.005,,U
15PY005613,8/18/2014 11:02,1,Lead Total,107925,0.184,UG/L,0.005,,U
15PY005617,10/19/2014 9:48,1,Magnesium Dissolved,1179,18200,UG/L,0.1,,U
15PY005700,11/16/2014 12:23,1,Temperature (water),1125,-0.5,DEG C,,,P
15PY005737,2/15/2015 11:12,1,pH,1075,8.03,PH,0.01,,U
15PY005754,4/19/2015 11:30,1,Alkalinity Total CaCO3,1131,170000,UG/L,0.5,,U
15PY005894,6/14/2015 11:25,1,Carbon Total Inorganic,100531,17400,UG/L,0.5,,U
15PY005894,6/14/2015 11:25,1,Nitrogen Total,1130,250,UG/L,0.02,,U
15PY005713,12/14/2014 10:55,1,Barium Total,107908,67.1,UG/L,0.05,,U
15PY005754,4/19/2015 11:30,1,Cobalt Total,107913,16.9,UG/L,0.002,,U
